# RIGHT SOLUTIONS A.I. - CHENDAI SYNTHESIS MAP (EXPANDED)
# FORMAT: [ID] | [TYPE] | [BASE_FREQ_HZ] | [HARMONIC_RATIOS] | [DECAY_SEC] | [NOISE_ATTACK_AMT] | [PITCH_BEND_AMT]
# NOTE: Harmonic Ratios are comma-separated multipliers of Base Freq.
# NOTE: Noise Attack is 0.0 (clean) to 1.0 (pure noise).
# NOTE: Pitch Bend is Hz drop over time (simulates skin stretching).

# --- SECTION 1: VALAM THALA (RIGHT SIDE - STICK) - THAAM FAMILY ---
# The main striking sounds - 300 variations

THAAM_400HZ_SOFT | STICK_CENTER | 400.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
THAAM_412HZ_HARD | STICK_CENTER | 412.0 | 1.5, 2.0, 3.5, 4.2 | 0.31 | 0.52 | 29.0
THAAM_414HZ_SOFT | STICK_CENTER | 414.0 | 1.5, 2.0 | 0.25 | 0.27 | 11.5
THAAM_414HZ_MED | STICK_CENTER | 414.0 | 1.5, 2.0, 3.5 | 0.29 | 0.49 | 22.0
THAAM_414HZ_HARD | STICK_CENTER | 414.0 | 1.5, 2.0, 3.5, 4.2 | 0.32 | 0.54 | 30.5
THAAM_416HZ_SOFT | STICK_CENTER | 416.0 | 1.5, 2.0 | 0.26 | 0.28 | 12.0
THAAM_416HZ_MED | STICK_CENTER | 416.0 | 1.5, 2.0, 3.5 | 0.30 | 0.51 | 23.0
THAAM_416HZ_HARD | STICK_CENTER | 416.0 | 1.5, 2.0, 3.5, 4.2 | 0.33 | 0.56 | 32.0
THAAM_418HZ_SOFT | STICK_CENTER | 418.0 | 1.5, 2.0 | 0.27 | 0.29 | 12.5
THAAM_418HZ_MED | STICK_CENTER | 418.0 | 1.5, 2.0, 3.5 | 0.31 | 0.53 | 24.0
THAAM_418HZ_HARD | STICK_CENTER | 418.0 | 1.5, 2.0, 3.5, 4.2 | 0.34 | 0.58 | 33.5
THAAM_420HZ_SOFT | STICK_CENTER | 420.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
THAAM_420HZ_MED | STICK_CENTER | 420.0 | 1.5, 2.0, 3.5 | 0.22 | 0.35 | 15.0
THAAM_420HZ_HARD | STICK_CENTER | 420.0 | 1.5, 2.0, 3.5, 4.2 | 0.25 | 0.40 | 20.0
THAAM_422HZ_SOFT | STICK_CENTER | 422.0 | 1.5, 2.0 | 0.19 | 0.21 | 8.5
THAAM_422HZ_MED | STICK_CENTER | 422.0 | 1.5, 2.0, 3.5 | 0.23 | 0.37 | 16.0
THAAM_422HZ_HARD | STICK_CENTER | 422.0 | 1.5, 2.0, 3.5, 4.2 | 0.26 | 0.42 | 21.5
THAAM_424HZ_SOFT | STICK_CENTER | 424.0 | 1.5, 2.0 | 0.20 | 0.22 | 9.0
THAAM_424HZ_MED | STICK_CENTER | 424.0 | 1.5, 2.0, 3.5 | 0.24 | 0.39 | 17.0
THAAM_424HZ_HARD | STICK_CENTER | 424.0 | 1.5, 2.0, 3.5, 4.2 | 0.27 | 0.44 | 23.0
THAAM_426HZ_SOFT | STICK_CENTER | 426.0 | 1.5, 2.0 | 0.21 | 0.23 | 9.5
THAAM_426HZ_MED | STICK_CENTER | 426.0 | 1.5, 2.0, 3.5 | 0.25 | 0.41 | 18.0
THAAM_426HZ_HARD | STICK_CENTER | 426.0 | 1.5, 2.0, 3.5, 4.2 | 0.28 | 0.46 | 24.5
THAAM_428HZ_SOFT | STICK_CENTER | 428.0 | 1.5, 2.0 | 0.22 | 0.24 | 10.0
THAAM_428HZ_MED | STICK_CENTER | 428.0 | 1.5, 2.0, 3.5 | 0.26 | 0.43 | 19.0
THAAM_428HZ_HARD | STICK_CENTER | 428.0 | 1.5, 2.0, 3.5, 4.2 | 0.29 | 0.48 | 26.0
THAAM_430HZ_SOFT | STICK_CENTER | 430.0 | 1.5, 2.0 | 0.23 | 0.25 | 10.5
THAAM_430HZ_MED | STICK_CENTER | 430.0 | 1.5, 2.0, 3.5 | 0.27 | 0.45 | 20.0
THAAM_430HZ_HARD | STICK_CENTER | 430.0 | 1.5, 2.0, 3.5, 4.2 | 0.30 | 0.50 | 27.5
THAAM_432HZ_SOFT | STICK_CENTER | 432.0 | 1.5, 2.0 | 0.24 | 0.26 | 11.0
THAAM_432HZ_MED | STICK_CENTER | 432.0 | 1.5, 2.0, 3.5 | 0.28 | 0.47 | 21.0
THAAM_432HZ_HARD | STICK_CENTER | 432.0 | 1.5, 2.0, 3.5, 4.2 | 0.31 | 0.52 | 29.0
THAAM_434HZ_SOFT | STICK_CENTER | 434.0 | 1.5, 2.0 | 0.25 | 0.27 | 11.5
THAAM_434HZ_MED | STICK_CENTER | 434.0 | 1.5, 2.0, 3.5 | 0.29 | 0.49 | 22.0
THAAM_434HZ_HARD | STICK_CENTER | 434.0 | 1.5, 2.0, 3.5, 4.2 | 0.32 | 0.54 | 30.5
THAAM_436HZ_SOFT | STICK_CENTER | 436.0 | 1.5, 2.0 | 0.26 | 0.28 | 12.0
THAAM_436HZ_MED | STICK_CENTER | 436.0 | 1.5, 2.0, 3.5 | 0.30 | 0.51 | 23.0
THAAM_436HZ_HARD | STICK_CENTER | 436.0 | 1.5, 2.0, 3.5, 4.2 | 0.33 | 0.56 | 32.0
THAAM_438HZ_SOFT | STICK_CENTER | 438.0 | 1.5, 2.0 | 0.27 | 0.29 | 12.5
THAAM_438HZ_MED | STICK_CENTER | 438.0 | 1.5, 2.0, 3.5 | 0.31 | 0.53 | 24.0
THAAM_438HZ_HARD | STICK_CENTER | 438.0 | 1.5, 2.0, 3.5, 4.2 | 0.34 | 0.58 | 33.5
THAAM_440HZ_SOFT | STICK_CENTER | 440.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
THAAM_440HZ_MED | STICK_CENTER | 440.0 | 1.5, 2.0, 3.5 | 0.22 | 0.35 | 15.0
THAAM_440HZ_HARD | STICK_CENTER | 440.0 | 1.5, 2.0, 3.5, 4.2 | 0.25 | 0.40 | 20.0
THAAM_442HZ_SOFT | STICK_CENTER | 442.0 | 1.5, 2.0 | 0.19 | 0.21 | 8.5
THAAM_442HZ_MED | STICK_CENTER | 442.0 | 1.5, 2.0, 3.5 | 0.23 | 0.37 | 16.0
THAAM_442HZ_HARD | STICK_CENTER | 442.0 | 1.5, 2.0, 3.5, 4.2 | 0.26 | 0.42 | 21.5
THAAM_444HZ_SOFT | STICK_CENTER | 444.0 | 1.5, 2.0 | 0.20 | 0.22 | 9.0
THAAM_444HZ_MED | STICK_CENTER | 444.0 | 1.5, 2.0, 3.5 | 0.24 | 0.39 | 17.0
THAAM_444HZ_HARD | STICK_CENTER | 444.0 | 1.5, 2.0, 3.5, 4.2 | 0.27 | 0.44 | 23.0
THAAM_446HZ_SOFT | STICK_CENTER | 446.0 | 1.5, 2.0 | 0.21 | 0.23 | 9.5
THAAM_446HZ_MED | STICK_CENTER | 446.0 | 1.5, 2.0, 3.5 | 0.25 | 0.41 | 18.0
THAAM_446HZ_HARD | STICK_CENTER | 446.0 | 1.5, 2.0, 3.5, 4.2 | 0.28 | 0.46 | 24.5
THAAM_448HZ_SOFT | STICK_CENTER | 448.0 | 1.5, 2.0 | 0.22 | 0.24 | 10.0
THAAM_448HZ_MED | STICK_CENTER | 448.0 | 1.5, 2.0, 3.5 | 0.26 | 0.43 | 19.0
THAAM_448HZ_HARD | STICK_CENTER | 448.0 | 1.5, 2.0, 3.5, 4.2 | 0.29 | 0.48 | 26.0
THAAM_450HZ_SOFT | STICK_CENTER | 450.0 | 1.5, 2.0 | 0.23 | 0.25 | 10.5
THAAM_450HZ_MED | STICK_CENTER | 450.0 | 1.5, 2.0, 3.5 | 0.27 | 0.45 | 20.0
THAAM_450HZ_HARD | STICK_CENTER | 450.0 | 1.5, 2.0, 3.5, 4.2 | 0.30 | 0.50 | 27.5
THAAM_452HZ_SOFT | STICK_CENTER | 452.0 | 1.5, 2.0 | 0.24 | 0.26 | 11.0
THAAM_452HZ_MED | STICK_CENTER | 452.0 | 1.5, 2.0, 3.5 | 0.28 | 0.47 | 21.0
THAAM_452HZ_HARD | STICK_CENTER | 452.0 | 1.5, 2.0, 3.5, 4.2 | 0.31 | 0.52 | 29.0
THAAM_454HZ_SOFT | STICK_CENTER | 454.0 | 1.5, 2.0 | 0.25 | 0.27 | 11.5
THAAM_454HZ_MED | STICK_CENTER | 454.0 | 1.5, 2.0, 3.5 | 0.29 | 0.49 | 22.0
THAAM_454HZ_HARD | STICK_CENTER | 454.0 | 1.5, 2.0, 3.5, 4.2 | 0.32 | 0.54 | 30.5
THAAM_456HZ_SOFT | STICK_CENTER | 456.0 | 1.5, 2.0 | 0.26 | 0.28 | 12.0
THAAM_456HZ_MED | STICK_CENTER | 456.0 | 1.5, 2.0, 3.5 | 0.30 | 0.51 | 23.0
THAAM_456HZ_HARD | STICK_CENTER | 456.0 | 1.5, 2.0, 3.5, 4.2 | 0.33 | 0.56 | 32.0
THAAM_458HZ_SOFT | STICK_CENTER | 458.0 | 1.5, 2.0 | 0.27 | 0.29 | 12.5
THAAM_458HZ_MED | STICK_CENTER | 458.0 | 1.5, 2.0, 3.5 | 0.31 | 0.53 | 24.0
THAAM_458HZ_HARD | STICK_CENTER | 458.0 | 1.5, 2.0, 3.5, 4.2 | 0.34 | 0.58 | 33.5
THAAM_460HZ_SOFT | STICK_CENTER | 460.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
THAAM_460HZ_MED | STICK_CENTER | 460.0 | 1.5, 2.0, 3.5 | 0.22 | 0.35 | 15.0
THAAM_460HZ_HARD | STICK_CENTER | 460.0 | 1.5, 2.0, 3.5, 4.2 | 0.25 | 0.40 | 20.0
THAAM_462HZ_SOFT | STICK_CENTER | 462.0 | 1.5, 2.0 | 0.19 | 0.21 | 8.5
THAAM_462HZ_MED | STICK_CENTER | 462.0 | 1.5, 2.0, 3.5 | 0.23 | 0.37 | 16.0
THAAM_462HZ_HARD | STICK_CENTER | 462.0 | 1.5, 2.0, 3.5, 4.2 | 0.26 | 0.42 | 21.5
THAAM_464HZ_SOFT | STICK_CENTER | 464.0 | 1.5, 2.0 | 0.20 | 0.22 | 9.0
THAAM_464HZ_MED | STICK_CENTER | 464.0 | 1.5, 2.0, 3.5 | 0.24 | 0.39 | 17.0
THAAM_464HZ_HARD | STICK_CENTER | 464.0 | 1.5, 2.0, 3.5, 4.2 | 0.27 | 0.44 | 23.0
THAAM_466HZ_SOFT | STICK_CENTER | 466.0 | 1.5, 2.0 | 0.21 | 0.23 | 9.5
THAAM_466HZ_MED | STICK_CENTER | 466.0 | 1.5, 2.0, 3.5 | 0.25 | 0.41 | 18.0
THAAM_466HZ_HARD | STICK_CENTER | 466.0 | 1.5, 2.0, 3.5, 4.2 | 0.28 | 0.46 | 24.5
THAAM_468HZ_SOFT | STICK_CENTER | 468.0 | 1.5, 2.0 | 0.22 | 0.24 | 10.0
THAAM_468HZ_MED | STICK_CENTER | 468.0 | 1.5, 2.0, 3.5 | 0.26 | 0.43 | 19.0
THAAM_468HZ_HARD | STICK_CENTER | 468.0 | 1.5, 2.0, 3.5, 4.2 | 0.29 | 0.48 | 26.0
THAAM_470HZ_SOFT | STICK_CENTER | 470.0 | 1.5, 2.0 | 0.23 | 0.25 | 10.5
THAAM_470HZ_MED | STICK_CENTER | 470.0 | 1.5, 2.0, 3.5 | 0.27 | 0.45 | 20.0
THAAM_470HZ_HARD | STICK_CENTER | 470.0 | 1.5, 2.0, 3.5, 4.2 | 0.30 | 0.50 | 27.5
THAAM_472HZ_SOFT | STICK_CENTER | 472.0 | 1.5, 2.0 | 0.24 | 0.26 | 11.0
THAAM_472HZ_MED | STICK_CENTER | 472.0 | 1.5, 2.0, 3.5 | 0.28 | 0.47 | 21.0
THAAM_472HZ_HARD | STICK_CENTER | 472.0 | 1.5, 2.0, 3.5, 4.2 | 0.31 | 0.52 | 29.0
THAAM_474HZ_SOFT | STICK_CENTER | 474.0 | 1.5, 2.0 | 0.25 | 0.27 | 11.5
THAAM_474HZ_MED | STICK_CENTER | 474.0 | 1.5, 2.0, 3.5 | 0.29 | 0.49 | 22.0
THAAM_474HZ_HARD | STICK_CENTER | 474.0 | 1.5, 2.0, 3.5, 4.2 | 0.32 | 0.54 | 30.5
THAAM_476HZ_SOFT | STICK_CENTER | 476.0 | 1.5, 2.0 | 0.26 | 0.28 | 12.0
THAAM_476HZ_MED | STICK_CENTER | 476.0 | 1.5, 2.0, 3.5 | 0.30 | 0.51 | 23.0
THAAM_476HZ_HARD | STICK_CENTER | 476.0 | 1.5, 2.0, 3.5, 4.2 | 0.33 | 0.56 | 32.0
THAAM_478HZ_SOFT | STICK_CENTER | 478.0 | 1.5, 2.0 | 0.27 | 0.29 | 12.5
THAAM_478HZ_MED | STICK_CENTER | 478.0 | 1.5, 2.0, 3.5 | 0.31 | 0.53 | 24.0
THAAM_478HZ_HARD | STICK_CENTER | 478.0 | 1.5, 2.0, 3.5, 4.2 | 0.34 | 0.58 | 33.5
THAAM_480HZ_SOFT | STICK_CENTER | 480.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
THAAM_480HZ_MED | STICK_CENTER | 480.0 | 1.5, 2.0, 3.5 | 0.22 | 0.35 | 15.0
THAAM_480HZ_HARD | STICK_CENTER | 480.0 | 1.5, 2.0, 3.5, 4.2 | 0.25 | 0.40 | 20.0
THAAM_482HZ_SOFT | STICK_CENTER | 482.0 | 1.5, 2.0 | 0.19 | 0.21 | 8.5
THAAM_482HZ_MED | STICK_CENTER | 482.0 | 1.5, 2.0, 3.5 | 0.23 | 0.37 | 16.0
THAAM_482HZ_HARD | STICK_CENTER | 482.0 | 1.5, 2.0, 3.5, 4.2 | 0.26 | 0.42 | 21.5
THAAM_484HZ_SOFT | STICK_CENTER | 484.0 | 1.5, 2.0 | 0.20 | 0.22 | 9.0
THAAM_484HZ_MED | STICK_CENTER | 484.0 | 1.5, 2.0, 3.5 | 0.24 | 0.39 | 17.0
THAAM_484HZ_HARD | STICK_CENTER | 484.0 | 1.5, 2.0, 3.5, 4.2 | 0.27 | 0.44 | 23.0
THAAM_486HZ_SOFT | STICK_CENTER | 486.0 | 1.5, 2.0 | 0.21 | 0.23 | 9.5
THAAM_486HZ_MED | STICK_CENTER | 486.0 | 1.5, 2.0, 3.5 | 0.25 | 0.41 | 18.0
THAAM_486HZ_HARD | STICK_CENTER | 486.0 | 1.5, 2.0, 3.5, 4.2 | 0.28 | 0.46 | 24.5
THAAM_488HZ_SOFT | STICK_CENTER | 488.0 | 1.5, 2.0 | 0.22 | 0.24 | 10.0
THAAM_488HZ_MED | STICK_CENTER | 488.0 | 1.5, 2.0, 3.5 | 0.26 | 0.43 | 19.0
THAAM_488HZ_HARD | STICK_CENTER | 488.0 | 1.5, 2.0, 3.5, 4.2 | 0.29 | 0.48 | 26.0
THAAM_490HZ_SOFT | STICK_CENTER | 490.0 | 1.5, 2.0 | 0.23 | 0.25 | 10.5
THAAM_490HZ_MED | STICK_CENTER | 490.0 | 1.5, 2.0, 3.5 | 0.27 | 0.45 | 20.0
THAAM_490HZ_HARD | STICK_CENTER | 490.0 | 1.5, 2.0, 3.5, 4.2 | 0.30 | 0.50 | 27.5
THAAM_492HZ_SOFT | STICK_CENTER | 492.0 | 1.5, 2.0 | 0.24 | 0.26 | 11.0
THAAM_492HZ_MED | STICK_CENTER | 492.0 | 1.5, 2.0, 3.5 | 0.28 | 0.47 | 21.0
THAAM_492HZ_HARD | STICK_CENTER | 492.0 | 1.5, 2.0, 3.5, 4.2 | 0.31 | 0.52 | 29.0
THAAM_494HZ_SOFT | STICK_CENTER | 494.0 | 1.5, 2.0 | 0.25 | 0.27 | 11.5
THAAM_494HZ_MED | STICK_CENTER | 494.0 | 1.5, 2.0, 3.5 | 0.29 | 0.49 | 22.0
THAAM_494HZ_HARD | STICK_CENTER | 494.0 | 1.5, 2.0, 3.5, 4.2 | 0.32 | 0.54 | 30.5
THAAM_496HZ_SOFT | STICK_CENTER | 496.0 | 1.5, 2.0 | 0.26 | 0.28 | 12.0
THAAM_496HZ_MED | STICK_CENTER | 496.0 | 1.5, 2.0, 3.5 | 0.30 | 0.51 | 23.0
THAAM_496HZ_HARD | STICK_CENTER | 496.0 | 1.5, 2.0, 3.5, 4.2 | 0.33 | 0.56 | 32.0
THAAM_498HZ_SOFT | STICK_CENTER | 498.0 | 1.5, 2.0 | 0.27 | 0.29 | 12.5
THAAM_498HZ_MED | STICK_CENTER | 498.0 | 1.5, 2.0, 3.5 | 0.31 | 0.53 | 24.0
THAAM_498HZ_HARD | STICK_CENTER | 498.0 | 1.5, 2.0, 3.5, 4.2 | 0.34 | 0.58 | 33.5
THAAM_500HZ_SOFT | STICK_CENTER | 500.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
THAAM_500HZ_MED | STICK_CENTER | 500.0 | 1.5, 2.0, 3.5 | 0.22 | 0.35 | 15.0
THAAM_500HZ_HARD | STICK_CENTER | 500.0 | 1.5, 2.0, 3.5, 4.2 | 0.25 | 0.40 | 20.0
THAAM_502HZ_SOFT | STICK_CENTER | 502.0 | 1.5, 2.0 | 0.19 | 0.21 | 8.5
THAAM_502HZ_MED | STICK_CENTER | 502.0 | 1.5, 2.0, 3.5 | 0.23 | 0.37 | 16.0
THAAM_502HZ_HARD | STICK_CENTER | 502.0 | 1.5, 2.0, 3.5, 4.2 | 0.26 | 0.42 | 21.5
THAAM_504HZ_SOFT | STICK_CENTER | 504.0 | 1.5, 2.0 | 0.20 | 0.22 | 9.0
THAAM_504HZ_MED | STICK_CENTER | 504.0 | 1.5, 2.0, 3.5 | 0.24 | 0.39 | 17.0
THAAM_504HZ_HARD | STICK_CENTER | 504.0 | 1.5, 2.0, 3.5, 4.2 | 0.27 | 0.44 | 23.0
THAAM_506HZ_SOFT | STICK_CENTER | 506.0 | 1.5, 2.0 | 0.21 | 0.23 | 9.5
THAAM_506HZ_MED | STICK_CENTER | 506.0 | 1.5, 2.0, 3.5 | 0.25 | 0.41 | 18.0
THAAM_506HZ_HARD | STICK_CENTER | 506.0 | 1.5, 2.0, 3.5, 4.2 | 0.28 | 0.46 | 24.5
THAAM_508HZ_SOFT | STICK_CENTER | 508.0 | 1.5, 2.0 | 0.22 | 0.24 | 10.0
THAAM_508HZ_MED | STICK_CENTER | 508.0 | 1.5, 2.0, 3.5 | 0.26 | 0.43 | 19.0
THAAM_508HZ_HARD | STICK_CENTER | 508.0 | 1.5, 2.0, 3.5, 4.2 | 0.29 | 0.48 | 26.0
THAAM_510HZ_SOFT | STICK_CENTER | 510.0 | 1.5, 2.0 | 0.23 | 0.25 | 10.5
THAAM_510HZ_MED | STICK_CENTER | 510.0 | 1.5, 2.0, 3.5 | 0.27 | 0.45 | 20.0
THAAM_510HZ_HARD | STICK_CENTER | 510.0 | 1.5, 2.0, 3.5, 4.2 | 0.30 | 0.50 | 27.5
THAAM_512HZ_SOFT | STICK_CENTER | 512.0 | 1.5, 2.0 | 0.24 | 0.26 | 11.0
THAAM_512HZ_MED | STICK_CENTER | 512.0 | 1.5, 2.0, 3.5 | 0.28 | 0.47 | 21.0
THAAM_512HZ_HARD | STICK_CENTER | 512.0 | 1.5, 2.0, 3.5, 4.2 | 0.31 | 0.52 | 29.0
THAAM_514HZ_SOFT | STICK_CENTER | 514.0 | 1.5, 2.0 | 0.25 | 0.27 | 11.5
THAAM_514HZ_MED | STICK_CENTER | 514.0 | 1.5, 2.0, 3.5 | 0.29 | 0.49 | 22.0
THAAM_514HZ_HARD | STICK_CENTER | 514.0 | 1.5, 2.0, 3.5, 4.2 | 0.32 | 0.54 | 30.5
THAAM_516HZ_SOFT | STICK_CENTER | 516.0 | 1.5, 2.0 | 0.26 | 0.28 | 12.0
THAAM_516HZ_MED | STICK_CENTER | 516.0 | 1.5, 2.0, 3.5 | 0.30 | 0.51 | 23.0
THAAM_516HZ_HARD | STICK_CENTER | 516.0 | 1.5, 2.0, 3.5, 4.2 | 0.33 | 0.56 | 32.0
THAAM_518HZ_SOFT | STICK_CENTER | 518.0 | 1.5, 2.0 | 0.27 | 0.29 | 12.5
THAAM_518HZ_MED | STICK_CENTER | 518.0 | 1.5, 2.0, 3.5 | 0.31 | 0.53 | 24.0
THAAM_518HZ_HARD | STICK_CENTER | 518.0 | 1.5, 2.0, 3.5, 4.2 | 0.34 | 0.58 | 33.5
THAAM_520HZ_SOFT | STICK_CENTER | 520.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
THAAM_520HZ_MED | STICK_CENTER | 520.0 | 1.5, 2.0, 3.5 | 0.22 | 0.35 | 15.0
THAAM_520HZ_HARD | STICK_CENTER | 520.0 | 1.5, 2.0, 3.5, 4.2 | 0.25 | 0.40 | 20.0
THAAM_522HZ_SOFT | STICK_CENTER | 522.0 | 1.5, 2.0 | 0.19 | 0.21 | 8.5
THAAM_522HZ_MED | STICK_CENTER | 522.0 | 1.5, 2.0, 3.5 | 0.23 | 0.37 | 16.0
THAAM_522HZ_HARD | STICK_CENTER | 522.0 | 1.5, 2.0, 3.5, 4.2 | 0.26 | 0.42 | 21.5
THAAM_524HZ_SOFT | STICK_CENTER | 524.0 | 1.5, 2.0 | 0.20 | 0.22 | 9.0
THAAM_524HZ_MED | STICK_CENTER | 524.0 | 1.5, 2.0, 3.5 | 0.24 | 0.39 | 17.0
THAAM_524HZ_HARD | STICK_CENTER | 524.0 | 1.5, 2.0, 3.5, 4.2 | 0.27 | 0.44 | 23.0
THAAM_526HZ_SOFT | STICK_CENTER | 526.0 | 1.5, 2.0 | 0.21 | 0.23 | 9.5
THAAM_526HZ_MED | STICK_CENTER | 526.0 | 1.5, 2.0, 3.5 | 0.25 | 0.41 | 18.0
THAAM_526HZ_HARD | STICK_CENTER | 526.0 | 1.5, 2.0, 3.5, 4.2 | 0.28 | 0.46 | 24.5
THAAM_528HZ_SOFT | STICK_CENTER | 528.0 | 1.5, 2.0 | 0.22 | 0.24 | 10.0
THAAM_528HZ_MED | STICK_CENTER | 528.0 | 1.5, 2.0, 3.5 | 0.26 | 0.43 | 19.0
THAAM_528HZ_HARD | STICK_CENTER | 528.0 | 1.5, 2.0, 3.5, 4.2 | 0.29 | 0.48 | 26.0
THAAM_530HZ_SOFT | STICK_CENTER | 530.0 | 1.5, 2.0 | 0.23 | 0.25 | 10.5
THAAM_530HZ_MED | STICK_CENTER | 530.0 | 1.5, 2.0, 3.5 | 0.27 | 0.45 | 20.0
THAAM_530HZ_HARD | STICK_CENTER | 530.0 | 1.5, 2.0, 3.5, 4.2 | 0.30 | 0.50 | 27.5
THAAM_532HZ_SOFT | STICK_CENTER | 532.0 | 1.5, 2.0 | 0.24 | 0.26 | 11.0
THAAM_532HZ_MED | STICK_CENTER | 532.0 | 1.5, 2.0, 3.5 | 0.28 | 0.47 | 21.0
THAAM_532HZ_HARD | STICK_CENTER | 532.0 | 1.5, 2.0, 3.5, 4.2 | 0.31 | 0.52 | 29.0
THAAM_534HZ_SOFT | STICK_CENTER | 534.0 | 1.5, 2.0 | 0.25 | 0.27 | 11.5
THAAM_534HZ_MED | STICK_CENTER | 534.0 | 1.5, 2.0, 3.5 | 0.29 | 0.49 | 22.0
THAAM_534HZ_HARD | STICK_CENTER | 534.0 | 1.5, 2.0, 3.5, 4.2 | 0.32 | 0.54 | 30.5
THAAM_536HZ_SOFT | STICK_CENTER | 536.0 | 1.5, 2.0 | 0.26 | 0.28 | 12.0
THAAM_536HZ_MED | STICK_CENTER | 536.0 | 1.5, 2.0, 3.5 | 0.30 | 0.51 | 23.0
THAAM_536HZ_HARD | STICK_CENTER | 536.0 | 1.5, 2.0, 3.5, 4.2 | 0.33 | 0.56 | 32.0
THAAM_538HZ_SOFT | STICK_CENTER | 538.0 | 1.5, 2.0 | 0.27 | 0.29 | 12.5
THAAM_538HZ_MED | STICK_CENTER | 538.0 | 1.5, 2.0, 3.5 | 0.31 | 0.53 | 24.0
THAAM_538HZ_HARD | STICK_CENTER | 538.0 | 1.5, 2.0, 3.5, 4.2 | 0.34 | 0.58 | 33.5
THAAM_540HZ_SOFT | STICK_CENTER | 540.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
THAAM_540HZ_MED | STICK_CENTER | 540.0 | 1.5, 2.0, 3.5 | 0.22 | 0.35 | 15.0
THAAM_540HZ_HARD | STICK_CENTER | 540.0 | 1.5, 2.0, 3.5, 4.2 | 0.25 | 0.40 | 20.0
THAAM_542HZ_SOFT | STICK_CENTER | 542.0 | 1.5, 2.0 | 0.19 | 0.21 | 8.5
THAAM_542HZ_MED | STICK_CENTER | 542.0 | 1.5, 2.0, 3.5 | 0.23 | 0.37 | 16.0
